Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Suspected Physical Attack,2011,10/24/11,11:37 PM,10/26/11,11:00 PM,PJM Interconnection,"Holmesburg Substation, Philadelphia, Pennsylvania",RFC,0,0,"vandalism, physical"
Vandalism,2011,10/20/11,7:15 AM,10/20/11,7:15 AM,Atlantic City Electric,"McKee, New Jersey",RFC,0,0,vandalism
Suspected Physical Attack,2011,10/18/11,3:45 AM,10/18/11,5:25 AM,PECO Energy,"Holmesburg Substation, Philadelphia, Pennsylvania",RFC,0,0,"vandalism, physical"
Vandalism,2011,10/17/11,3:34 AM,10/17/11,10:42 AM,Potomac Electric Power Company,"Seat Pleasant, Maryland",RFC,0,0,vandalism
Vandalism,2011,10/14/11,2:20 PM,10/14/11,2:20 PM,Atlantic City Electric,"English Creek, New Jersey",RFC,0,0,vandalism
Vandalism,2011,10/6/11,11:07 AM,10/6/11,11:07 AM,PacifiCorp,"Oquirrh Substation, Utah",WECC,0,0,vandalism
Suspected Physical Attack,2011,9/30/11,8:22 AM,9/30/11,8:22 AM,Delmarva Power & Light Company,"Wilmington, Delaware",RFC,0,0,"vandalism, physical"
Suspected Physical Attack,2011,9/28/11,4:41 PM,9/28/11,4:41 PM,Delmarva Power & Light Company,"Bethany Beach, Delaware",RFC,0,0,"vandalism, physical"
Vandalism,2011,9/28/11,2:59 PM,9/28/11,2:59 PM,Atlantic City Electric,"Dorothy, New Jersey",RFC,0,0,vandalism
Vandalism,2011,9/26/11,10:15 AM,9/26/11,10:15 AM,Atlantic City Electric,"McKee City, New Jersey",RFC,0,0,vandalism
Vandalism,2011,9/23/11,9:04 AM,9/23/11,9:04 AM,The United Illuminating Company,"North Haven, Connecticut",NPCC,0,0,vandalism
Vandalism,2011,9/22/11,2:50 PM,9/22/11,2:51 PM,Dayton Power & Light,"Montgomery County, Ohio",RFC,N/A,0,vandalism
Suspected Physical Attack,2011,9/21/11,10:30 AM,9/21/11,10:30 AM,Delmarva Power & Light Company,"Hockessin, Delaware",RFC,0,0,"vandalism, physical"
Vandalism,2011,9/14/11,9:00 AM,9/14/11,2:00 PM,PacifiCorp,"Salt Lake County, Utah",WECC,0,0,vandalism
Vandalism,2011,9/13/11,2:03 PM,9/13/11,6:21 PM,New York Power Authority,"Saranac, New York",NPCC,N/A,0,vandalism
Vandalism,2011,9/12/11,9:15 AM,9/12/11,3:30 PM,Atlantic City Electric,"English Creek, New Jersey",RFC,0,0,vandalism
Actual Physical Attack,2011,9/7/11,12:08 AM,9/7/11,10:50 AM,ISO New England,Western Connecticut; New York,NPCC,0,0,"vandalism, physical"
Suspected Physical Attack,2011,8/31/11,12:52 PM,8/31/11,12:52 PM,Duke Energy,Southwest Ohio,RFC,0,0,"vandalism, physical"
Suspected Physical Attack,2011,8/28/11,8:55 PM,8/28/11,11:39 PM,PacifiCorp,"Calapooya Substation, Oregon",WECC,0,0,"vandalism, physical"
Suspected Physical Attack,2011,8/25/11,12:01 AM,8/25/11,12:01 AM,Central Maine Power Company,Maine,NPCC,0,0,"vandalism, physical"
Public Appeal to Reduce Electricity Usage,2011,8/24/11,1:20 PM,8/29/11,7:00 PM,ERCOT ISO,Texas,TRE,0,0,public appeal
Public Appeal to Reduce Electricity Usage,2011,8/23/11,3:43 PM,8/23/11,7:00 PM,ERCOT ISO,Texas,TRE,0,0,public appeal
Public Appeal to Reduce Electricity Usage,2011,8/23/11,10:30 AM,8/23/11,4:54 PM,Southwestern Public Service Company,"Southeastern New Mexico,  Texas Panhandle",SPP,0,0,public appeal
Earthquake,2011,8/23/11,1:51 PM,8/23/11,1:51 PM,Dominion Virginia Power,Virginia,RFC,0,0,earthquake
Vandalism,2011,8/15/11,2:05 AM,8/15/11,3:40 AM,PacifiCorp,Utah,WECC,0,0,vandalism
Suspected Physical Attack,2011,8/8/11,9:30 AM,8/8/11,9:30 AM,Dayton Power & Light,"Greene County, Ohio",RFC,0,0,"vandalism, physical"
Public Appeal to Reduce Electricity Usage,2011,8/3/11,4:30 PM,8/3/11,9:00 PM,Entergy,Central Arkansas,SPP,0,0,public appeal
Public Appeal to Reduce Electricity Usage,2011,8/1/11,3:00 PM,8/5/11,7:00 PM,ERCOT ISO,Texas,TRE,0,0,public appeal
Vandalism,2011,7/26/11,12:01 PM,7/26/11,12:01 PM,Western Farmers Electric Cooperative,"Backup Control Center, Oklahoma",SPP,0,0,vandalism
Vandalism,2011,7/24/11,2:34 PM,7/24/11,3:47 PM,Public Service of NH (Northeast Utilities),"Southern, New Hampshire",NPCC,0,0,vandalism
Public Appeal to Reduce Electricity Usage,2011,7/14/11,11:00 AM,7/14/11,7:00 PM,ERCOT ISO,Texas,TRE,0,0,public appeal
Vandalism,2011,7/12/11,12:00 PM,7/12/11,12:00 PM,Central Maine Power Company,Maine,NPCC,N/A,0,vandalism
Vandalism,2011,7/11/11,1:30 PM,7/11/11,1:30 PM,Central Maine Power Company,Maine,NPCC,N/A,0,vandalism
Vandalism,2011,7/11/11,1:13 PM,7/11/11,1:13 PM,Duke Energy,Southwest Ohio,RFC,0,0,vandalism
Vandalism,2011,7/8/11,10:00 AM,7/8/11,10:00 AM,Minnesota Power,"Saginaw, Minnesota",MRO,0,0,vandalism
