Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Severe Thunderstorms,2007,5-15-2007,3:00 p.m.,5-17-2007,7:00 a.m.,DTE Energy (Detroit Edison),Southeastern Michigan,RFC,500,66000,"severe weather, thunderstorm"
Severe Weather- Thunderstorms,2014,6-10-2014,9:50 PM,6-11-2014,2:30 PM,American Electric Power,West Virginia,RFC,Unknown,66383,"severe weather, thunderstorm"
Severe Weather- Thunderstorms-High Winds,2014,2-21-2014,2:53 AM,2-21-2014,9:00 PM,Southern Company,Northern-Northeastern Georgia,SERC,221,66445,"severe weather, thunderstorm, wind"
Voltage Reduction-Load Shed,2005,9-13-2005,2:14 p.m.,9-13-2005,2:29 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,249,66480,"voltage reduction, load shedding"
Severe Weather- Thunderstorms,2012,7-18-2012,4:20 PM,7-18-2012,7:05 PM,American Electric Power (AEP),Eastern Ohio,RFC,Unknown,67000,"severe weather, thunderstorm"
Severe Storm,2007,5-16-2007,6:00 p.m.,5-19-2007,5:00 a.m.,Northeast Utilities,All of Connecticut,NPCC,-,67000,"severe weather, storm"
Severe Thunderstorms,2007,3-31-2007,7:30 a.m.,3-31-2007,7:00 p.m.,CenterPoint Energy,"Houston, Texas",ERCOT,179,67000,"severe weather, thunderstorm"
Severe Thunderstorms,2006,7-4-2006,5:30 p.m.,7-4-2006,8:18 p.m.,Dominion- Virginia Power-North Carolina,Northern Virginia,RFC,335,67000,"severe weather, thunderstorm"
Wind Storm,2003,11-13-2003,1:40 p.m.,11-13-2003,3:51 p.m.,Dominion-Virginia Power- North Carolina Power,"Northern Virginia, Richmond area, Eastern Virginia",SERC,300,67000,"severe weather, wind"
Severe Weather,2011,7-29-2011,8:45 PM,8-1-2011,4:24 AM,FirstEnergy Corp: Jersey Central Power & Light,Central New Jersey,RFC,N-A,67900,severe weather
Severe Storm,2008,6-10-2008,11:00 a.m.,6-13-2008,5:30 p.m.,National Grid,Upstate New York,NPCC,400,68000,"severe weather, storm"
Load Shed-Made Public Appeals-Rolling Blackouts,2006,4-17-2006,4:10 p.m.,4-17-2006,6:11 p.m.,CenterPoint Energy,System-wide greater Houston metro area (and across ERCOT),ERCOT,260,68000,"load shedding, public appeal"
Severe Weather- Hurricane Isaac,2012,8-29-2012,6:53 AM,8-30-2012,2:00 PM,Dixie Electric Membership Corp,Louisiana,SERC,150,68018,"severe weather, hurricane-tropical storm"
Severe Weather- Thunderstorms,2012,6-19-2012,4:30 AM,6-20-2012,11:00 PM,Xcel Energy,"Minneapolis-St. Paul, Minnesota",MRO,UNK,68200,"severe weather, thunderstorm"
Relaying Malfunction,2003,4-15-2003,11:00 a.m.,4-15-2003,2:06 p.m.,Bryan Texas Utilities,"Cities of Bryan, College Station and surrounding areas",ERCOT,212,68530,equipment failure
Ice Storm,2010,1-28-2010,12:00 p.m.,2-2-2010,12:00 PM,American Electric Power,Oklahoma,SPP,N-A,68705,"severe weather, winter storm"
Brush Fire-Load Shedding,2007,10-22-2007,2:06 p.m.,10-22-2007,2:43 p.m.,San Diego Gas and Electric Company,"San Diego County, California",WECC,199,68780,"wild fire, load shedding"
Severe Thunderstorm,2009,5-8-2009,1:30 p.m.,5-14-2009,11:20 p.m.,Ameren,Southern Illinois,SERC,300,68800,"severe weather, thunderstorm"
Severe Weather,2011,4-27-2011,10:00 PM,4-28-2011,10:00 AM,American Electric Power,"Ohio, Tennessee, Virginia",SERC,0,69000,severe weather
Generation Inadequacy-Load Shed,2011,2-2-2011,6:22 AM,2-2-2011,9:57 AM,Salt River Project,Central Arizona,WECC,"3,963",69000,load shedding
Severe Storm,2007,7-5-2007,7:00 p.m.,7-8-2007,7:00 a.m.,DTE Energy  (Detroit Edison),Southeastern Michigan,RFC,-,69000,"severe weather, storm"
Severe Weather,2012,7-1-2012,5:45 PM,7-1-2012,10:15 PM,"Progress Energy, Carolinas","Northern, Central and Eastern North Carolina",SERC,Unknown,69106,severe weather
Severe Weather- Hurricane Sandy,2012,10-29-2012,9:00 AM,11-2-2012,6:00 PM,Delmarva Power & Light Company,"Delaware, Maryland",RFC,Unknown,70000,"severe weather, hurricane-tropical storm"
Severe Weather  Equipment Failure,2012,7-21-2012,2:19 AM,7-21-2012,5:20 AM,Lubbock Power and Light,"City of Lubbock, Texas",SPP,220,70000,"severe weather, equipment failure"
Severe Weather,2011,7-1-2011,5:00 PM,7-3-2011,8:00 PM,Xcel Energy Northern States Power Company,Southwest and South Central Minnesota,MRO,UNK,70000,severe weather
Severe Thunderstorms,2011,6-18-2011,5:00 PM,6-18-2011,9:33 PM,Duke Energy Carolinas,North Carolina  South Carolina,SERC,300,70000,"severe weather, thunderstorm"
Severe Weather,2011,5-23-2011,12:30 PM,5-25-2011,12:30 PM,Ameren,"St. Louis County, Missouri",SERC,UNK,70000,severe weather
High Winds,2010,10-26-2010,8:00 p.m.,10-28-2010,10:00 PM,Xcel Energy-Northern States Power Company,Minnesota,MRO,N-A,70000,"severe weather, wind"
High Winds,2009,1-7-2009,5:00 p.m.,1-7-2009,8:05 p.m.,Duke Energy Carolinas,Piedmont of North and South Carolina,SERC,300,70000,"severe weather, wind"
Severe Thunderstorms,2008,5-30-2008,10:00 p.m.,6-4-2008,11:59 p.m.,Indianapolis Power and Light,"Northeastern Marion County, Indiana",RFC,N-A,70000,"severe weather, thunderstorm"
High Winds,2007,4-14-2007,9:00 a.m.,4-14-2007,11:00 a.m.,National Grid- New England,"Massachusetts, New Hampshire, Rhode Island",NPCC,65-80,70000,"severe weather, wind"
Severe Thunderstorms,2006,6-1-2006,6:30 p.m.,6-3-2006,2:00 p.m.,Baltimore Gas and Electric,Central Maryland,RFC,335,70000,"severe weather, thunderstorm"
Severe Storms (3) (Many customers experienced multiple outages.),2006,7-19-2006,6:00 p.m.,7-31-2006,8:00 a.m.,Ameren Corporation,Greater St. Louis Metropolitan area (Missouri and Illinois),MRO,"1,500",70000,"severe weather, storm"
Inadequate Resources,2004,3-8-2004,6:22 p.m.,3-8-2004,6:55 p.m.,Southern California Edison,Southern California not including LA,WECC,300,70000,fuel supply emergency
Ice Storm,2004,1-28-2004,1:09 p.m.,1-29-2004,5:00 a.m.,Baltimore Gas & Electric Company,"Harford County, Maryland",MAAC,Approx. 300,70000,"severe weather, winter storm"
Severe Thunderstorms,2011,6-15-2011,7:17 PM,6-16-2011,1:45 AM,Duke Energy,"Piedmont, North Carolina",SERC,300,70135,"severe weather, thunderstorm"
Highwinds,2009,8-2-2009,2:17 a.m.,8-3-2009,1:09 p.m.,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsyvania",RFC,N-A,70264,"severe weather, wind"
Voltage Reduction-Shed Load,2005,1-24-2005,6:38 a.m.,1-24-2005,6:50 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,225,70717,"load shedding, voltage reduction"
Winter Storm,2009,4-6-2009,1:00 a.m.,4-8-2009,12:00 p.m.,Consumers Energy,"Michigan, Lower Peninsula",RFC,75,70793,"severe weather, winter storm"
Severe Weather,2011,5-11-2011,12:15 AM,5-11-2011,5:20 PM,Duke Energy Carolinas,"Charlotte, North Carolina",SERC,300,71000,severe weather
Voltage Reduction-Load Shed,2005,10-2-2005,5:40 p.m.,10-2-2005,5:54 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,312,71240,"voltage reduction, load shedding"
Severe Weather,2011,8-2-2011,9:30 PM,8-3-2011,7:00 PM,Exelon Corporation-ComEd,"Northeast, Illinois",RFC,UNK,71500,severe weather
Lightning-Transmission Equipment Damage,2008,8-16-2008,5:23 a.m.,8-16-2008,7:30 a.m.,Lubbock Power and Light,City of Lubbock,TRE,153,71823,"severe weather, thunderstorm, equipment failure"
Voltage Reduction-Load Shed,2005,8-19-2005,7:37 p.m.,8-19-2005,8:15 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,259,71864,"voltage reduction, load shedding"
Severe Thunderstorm,2006,6-11-2006,6:00 p.m.,6-11-2006,9:00 p.m.,Duke Energy Carolinas,"Charlotte, North Carolina Metropolitan area",SERC,70,72000,"severe weather, thunderstorm"
Severe Thunderstorms,2003,7-7-2003,9:00 a.m.,7-7-2003,3:00 p.m.,Com Ed,Northern Illinois,MAIN,NA,72000,"severe weather, thunderstorm"
Severe Weather,2011,4-4-2011,2:00 PM,4-8-2011,12:01 AM,Tennessee Valley Authority,"Davidson County, Tennessee",SERC,300,73000,severe weather
Thunderstorms,2009,8-12-2009,6:25 p.m.,8-12-2009,10:00 a.m.,CenterPoint Energy,South Houston Service Area,TRE,491,73000,"severe weather, thunderstorm"
Thunderstorms,2009,7-18-2009,7:00 p.m.,7-19-2009,9:00 p.m.,CenterPoint Energy,Houston-Galveston Area,TRE,51,73000,"severe weather, thunderstorm"
Severe Weather,2006,3-9-2006,2:00 p.m.,3-9-2006,10:00 p.m.,Entergy Service Inc.,"Arkansas, Mississippi, Louisiana, Southeast Texas",SERC,N-A,73000,severe weather
Rain and High Winds,2010,10-5-2010,5:45 a.m.,10-7-2010,6:00a.,Los Angeles Department of Water and Power,"City of Los Angeles, California",WECC,N-A,73514,"severe weather, wind, rain"
Severe Weather,2011,10-29-2011,8:00 PM,10-31-2011,8:00 PM,"Orange and Rockland Utilities, Inc",New Jersey  New York,"NPCC, RFC",N-A,74000,severe weather
Winter Storm,2010,2-5-2010,6:48 p.m.,2-7-2010,5:00 PM,Duke Energy Carolinas,North and South Carolina,SERC,500,74000,"severe weather, winter storm"
Load Shedding,2008,2-14-2008,8:15 a.m.,2-14-2008,10:46 a.m.,PacifiCorp,Utah,WECC,"2,818",74031,load shedding
Severe Weather- Thunderstorms,2013,7-19-2013,10:30 PM,7-21-2013,8:00 PM,Niagara Mohawk Power Corporation (dba National Grid),New York,NPCC,Unknown,74300,"severe weather, thunderstorm"
Severe Weather,2011,4-4-2011,7:00 PM,4-5-2011,8:00 PM,Entergy Corporation,"Southeast Arkansas, Southeast Louisiana, Western Mississippi, Eastern Texas",SERC,UNK,74645,severe weather
Severe Weather- Thunderstorms,2013,9-11-2013,4:00 PM,9-15-2013,4:00 PM,Detroit Edison Co,Southeastern Michigan,RFC,400,75000,"severe weather, thunderstorm"
Severe Weather- Wind Storm,2013,1-31-2013,6:30 AM,1-31-2013,10:00 AM,ISO New England,Connecticut,NPCC,75,75000,"severe weather, wind"
Severe Storms,2009,10-7-2009,5:45 a.m.,10-9-2009,11:00 p.m.,Detroit Edison,Southeast Michigan,RFC,N-A,75000,"severe weather, storm"
Ice Storm,2009,1-28-2009,6:00 a.m.,2-5-2009,6:00 p.m.,Vectren Energy Delivery of Indiana,"Indiana, Evansville, Metro Area",RFC,506,75000,"severe weather, winter storm"
Severe Storm,2007,8-24-2007,6:00 p.m.,8-28-2007,6:30 a.m.,DTE Energy  (Detroit Edison),Southeastern Michigan,RFC,N-A,75000,"severe weather, storm"
Ice Storm,2007,2-24-2007,4:00 p.m.,3-4-2007,12:57 a.m.,MidAmerican Energy Company,"NE quarter of State of Iowa and Rock Island, Illinois",MRO,210,75000,"severe weather, winter storm"
High Winds,2006,12-14-2006,5:00 p.m.,12-16-2006,4:00 p.m.,Tacoma Power,"Greater Tacoma area (City of Fircrest, University Place, City of Lakeland) and portions of South Pierce County in State of Washington",WECC,280,75000,"severe weather, wind"
Severe Thunderstorms,2006,7-2-2006,6:39 p.m.,7-3-2006,12:31 a.m.,Dominion- Virginia Power-North Carolina,Northern Virginia,RFC,300,75000,"severe weather, thunderstorm"
Hurricane Ivan,2004,9-16-2004,2:00 a.m.,9-16-2004,10:02 a.m.,Alabama Electric Cooperative,"Baldwin County, Alabama, Escambia County, Florida, Washington County, Alabama",SERC,263,75000,"severe weather, hurricane-tropical storm"
Severe Weather,2000,8-10-2000,9:30 p.m.,8-11-2000,6:00 p.m.,Alabama Power Co,Alabama,SERC,None,75000,severe weather
Interruption of Firm Power,2001,3-20-2001,11:50 a.m.,3-20-2001,2:11:00 PM,Southern California Edison,Southern California Area,WECC,Various,75000,load shedding
Severe Weather- Thunderstorms,2013,11-17-2013,1:06 PM,11-20-2013,1:06 PM,Northern Indiana Public Service Company,North Central Indiana,RFC,Unknown,75065,"severe weather, thunderstorm"
Severe Thunderstorms,2011,6-22-2011,7:00 PM,6-23-2011,1:00 AM,Southern Company,Alabama  Georgia,SERC,316,75101,"severe weather, thunderstorm"
Fire-Breaker Failure,2008,6-9-2008,2:52 p.m.,6-9-2008,8:25 p.m.,Public Service Electric and Gas,"Area Around West Orange Switching Station, New Jersey",RFC,215,75654,equipment failure
Severe Weather,2008,2-5-2008,10:00 p.m.,2-6-2008,3:00 a.m.,LG&E Energy-Kentucky Utilities,State of Kentucky,SERC,N-A,76000,severe weather
Thunderstorms,2010,8-5-2010,3:30 p.m.,8-5-2010,10:00 PM,Potomac Electric Power Co,"District of Columbia, Maryland",RFC,N-A,76729,"severe weather, thunderstorm"
Severe Thunderstorms,2006,8-2-2006,7:00 p.m.,8-3-2006,1:00 a.m.,National Grid,New England,NPCC,100-140,77000,"severe weather, thunderstorm"
Severe Weather- Thunderstorms,2013,11-17-2013,4:19 PM,11-18-2013,6:00 PM,American Electric Power,"Indiana, Michigan",RFC,Unknown,77346,"severe weather, thunderstorm"
Severe Thunderstorms,2011,6-5-2011,5:30 AM,6-6-2011,1:30 AM,CenterPoint Energy,"Houston Metro-Area, Texas",TRE,473,78000,"severe weather, thunderstorm"
Severe Thunderstorms,2009,2-11-2009,7:00 p.m.,2-12-2009,11:00 a.m.,Louisville Gas and Electric-Kentucky Utilities,State of Kentucky,RFC,N-A,78000,"severe weather, thunderstorm"
Hurricane Charley,2004,8-13-2004,4:43 p.m.,8-13-2004,8:24 p.m.,Tampa Electric Company,"Eastern Hillsborough, Polk County, Florida",FRCC,250,78000,"severe weather, hurricane-tropical storm"
Generation Inadequacy  Load Shed  Electrical System Separation (Islanding),2011,5-10-2011,3:25 AM,5-11-2011,2:10 PM,Midwest Independent System Operator (MISO),"Upper Peninsula, Michigan",RFC,585,78213,"load shedding, islanding"
Severe Weather,2011,8-24-2011,7:45 AM,8-25-2011,6:00 AM,CenterPoint Energy,"Houston area, Texas",TRE,485,79000,severe weather
Major Storm,2011,3-20-2011,9:44 AM,3-21-2011,10:00 AM,Los Angeles Department of Water and Power,"Los Angeles, California",WECC,UNK,79000,"severe weather, storm"
Severe Weather,2010,6-18-2010,8:00 p.m.,6-21-2010,10:45 AM,American Electric Power,"Indiana, Michigan",RFC,N-A,79000,severe weather
Thunderstorms,2010,6-8-2010,11:00 a.m.,6-8-2010,5:00 PM,Centerpoint Energy,Southeastern Texas,TRE,N-A,79741,"severe weather, thunderstorm"
Severe Weather- Winter Storm,2013,1-17-2013,7:02 PM,1-19-2013,6:00 PM,Tennessee Valley Authority,Northeast Tennessee,SERC,Unknown,80000,"severe weather, winter storm"
Severe Thunderstorms,2011,6-27-2011,12:00 AM,6-29-2011,1:00 AM,AMEREN,Illinois  Missouri,SERC,UNK,80000,"severe weather, thunderstorm"
Severe Weather,2011,4-19-2011,8:00 PM,4-19-2011,10:00 PM,Ameren Illinois,Illinois,SERC,UNK,80000,severe weather
Winter Storm,2011,2-25-2011,8:00 AM,2-28-2011,5:30 PM,Pacific Gas and Electric,Northern and Central California,WECC,91,80000,"severe weather, winter storm"
Major Storm,2011,2-17-2011,1:25 AM,2-19-2011,10:13 AM,Pacific Gas and Electric,Northern and Central California,WECC,91,80000,"severe weather, storm"
Winter Storm,2011,1-12-2011,6:00 AM,1-12-2011,2:00 PM,National Grid,Massachusetts,NPCC,N-A,80000,"severe weather, winter storm"
Severe Weather,2010,8-19-2010,6:00 p.m.,8-23-2010,3:30 PM,Detroit Edison,Southeastern Michigan,RFC,340,80000,severe weather
Thunderstorms,2009,8-21-2009,7:00 p.m.,8-22-2009,8:00 a.m.,CenterPoint Energy,Houston Metropolitan Service Area,TRE,544,80000,"severe weather, thunderstorm"
Load Shedding,2007,6-5-2007,10:56 a.m.,6-5-2007,11:51 a.m.,Idaho Power Company,Southwest Idaho and Eastern Oregon,WECC,424,80000,load shedding
Severe Thunderstorms,2003,7-9-2003,5:14 p.m.,7-9-2003,7:09 p.m.,Dominion Virginia-North Carolina Power,Northern Central and Eastern Virginia,SERC,120,80000,"severe weather, thunderstorm"
Severe Thunderstorms,2008,5-11-2008,6:00 a.m.,5-12-2008,2:30 p.m.,Southern Company,Georgia,SERC,100,80539,"severe weather, thunderstorm"
Severe Weather,2010,7-25-2010,4:11 p.m.,7-25-2010,8:06 PM,Dominion- Virginia Power,Northern Virginia,SERC,900-1000,81000,severe weather
Ice Storm,2000,1-29-2000,10:00 p.m.,2-3-2000,12:00:00 PM,Duke Power Co.,South Carolina,SERC,300,81000,"severe weather, winter storm"
Severe Weather,2010,8-23-2010,5:50 p.m.,8-24-2010,9:30 AM,CenterPoint Energy,"Houston, Texas",TRE,746,81586,severe weather
Severe Thunderstorms,2009,6-12-2009,5:45 p.m.,6-15-2009,11:59 p.m.,Entergy Corporation,"Arkansas, North Mississippi",SERC,N-A,81645,"severe weather, thunderstorm"
Severe Weather,2010,7-23-2010,7:30 p.m.,7-26-2010,6:30 PM,Detroit Edison,Southeastern Michigan,RFC,400,82000,severe weather
Severe Weather,2006,4-21-2006,7:00 a.m.,4-21-2006,10:00 a.m.,CenterPoint Energy,System-wide greater Houston metro area,ERCOT,219,82000,severe weather
Ice Storm,2005,1-29-2005,4:00 p.m.,1-30-2005,3:00 p.m.,Georgia System Operations Corporation (GSOC),Georgia,SERC,65 to 100,82000,"severe weather, winter storm"
Severe Weather- Thunderstorms,2012,7-24-2012,7:01 AM,7-24-2012,4:30 PM,Northern Indiana Public Service Company,Northern Indiana,RFC,N-A,82621,"severe weather, thunderstorm"
Thunderstorms,2010,9-22-2010,5:38 p.m.,9-24-2010,11:30 PM,Allegheny Power,Western Pennsylvania,RFC,389,82861,"severe weather, thunderstorm"
Severe Thunderstorm,2009,5-8-2009,7:30 a.m.,5-8-2009,9:00 a.m.,The Empire District Electric Company,SW Missouri,SERC,266,83000,"severe weather, thunderstorm"
High Winds,2006,11-15-2006,10:00 a.m.,11-15-2006,8:00 p.m.,CenterPoint Energy,System-wide greater Houston area,ERCOT,221,83000,"severe weather, wind"
Strong Thunderstorms,2004,11-24-2004,10:00 a.m.,11-24-2004,4:00 p.m.,Southern Company,Georgia,SERC,100,83450,"severe weather, thunderstorm"
Transmission Equipment-Fire,2006,12-16-2006,7:30 p.m.,12-17-2006,1:00 a.m.,Portland General Electric,"Oregon Counties:  Washington, Yamhill",WECC,350,84500,"wild fire, transmission interruption"
Hurricane Wilma,2005,10-24-2005,7:00 a.m.,11-10-2005,12:00 a.m.,Florida Municipal Power Agency,"South Florida- Cities of Key West, Clewiston, Lake Worth, and Ft. Pierce",FRCC,148,84900,"severe weather, hurricane-tropical storm"
Severe Weather,2011,7-11-2011,11:15 AM,7-12-2011,8:15 AM,Consumers Energy,Western and Southern Lower Peninsula Michigan,RFC,UNK,85000,severe weather
Severe Thunderstorms,2009,6-26-2009,1:00 a.m.,6-27-2009,9:00 a.m.,Duke Energy Midwest,"Southwest Ohio, Northern Kentudky, Central and Southern Indiana",RFC,327,85000,"severe weather, thunderstorm"
Severe Thunderstorms,2009,6-9-2009,5:25 p.m.,6-11-2009,5:00 a.m.,Baltimore Gas and Electric,Central Maryland,RFC,60,85091,"severe weather, thunderstorm"
Hurricane Jeanne,2004,9-27-2004,8:00 a.m.,9-27-2004,2:00 p.m.,Southern Company,Georgia,SERC,854,85455,"severe weather, hurricane-tropical storm"
Voltage Reduction-Load Shed,2005,10-22-2005,9:44 a.m.,10-22-2005,11:40 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,360,85682,"voltage reduction, load shedding"
Severe Weather,2011,4-28-2011,5:00 AM,4-30-2011,6:30 PM,FirstEnergy Service Company,"Cleveland area, Ohio",RFC,UNK,86000,severe weather
Generation Inadequacy-Load Shed,2011,2-3-2011,10:04 PM,2-4-2011,12:32 PM,ERCOT ISO,Texas,TRE,400,86013,load shedding
Severe Thunderstorm,2009,7-20-2009,9:50 p.m.,7-22-2009,7:00 p.m.,Public Service Company of Colorado,"Metro Denver (Jefferson, Adams, and Arapahoe Counties)",WECC,150,86058,"severe weather, thunderstorm"
Severe Weather- Thunderstorms,2012,6-30-2012,1:00 AM,7-3-2012,1:00 AM,Delmarva Power & Light Company,Delaware  Maryland,RFC,0,86390,"severe weather, thunderstorm"
Severe Weather- Thunderstorms,2013,6-24-2013,7:30 PM,6-26-2013,5:00 PM,Northern Indiana Public Service Company,Indiana,RFC,Unknown,86615,"severe weather, thunderstorm"
Wind-Ice Storm,2008,1-29-2008,10:00 p.m.,2-1-2008,6:30 p.m.,DTE Energy- Detroit Edison,Southeastern Michigan,RFC,N-A,86915,"severe weather, winter storm"
Severe Weather,2011,3-31-2011,11:30 AM,3-31-2011,8:30 PM,Tampa Electric Company,"Greater Tampa Bay, Florida",FRCC,206,87000,severe weather
Tropical Storm Fay,2008,8-24-2008,4:30 a.m.,8-24-2008,2:00 p.m.,Southern Company,Georgia and Alabama,SERC,110,87390,"severe weather, hurricane-tropical storm"
Ice Storm,2004,2-5-2004,8:00 p.m.,2-9-2004,8:00 p.m.,Allegheny Power,"Maryland, Southeastern West Virginia, Northern Virginia, Northern Pennsylvania and South Central Pennsylvania",MAAC,60,87456,"severe weather, winter storm"
Severe Thunderstorms,2005,7-27-2005,6:00 p.m.,7-29-2005,4:00 p.m.,Baltimore Gas and Electric Company,"Baltimore County, Anne Arundel County and Prince Georges County, Maryland",MAAC,N-A,87600,"severe weather, thunderstorm"
Severe Weather- Ice-Snow,2013,12-9-2013,6:54 AM,12-9-2013,2:22 PM,Dominion Virginia Power,Virginia Service Territory,SERC,293,88000,"severe weather, winter storm"
Severe Thunderstorms,2004,7-7-2004,1:30 p.m.,7-7-2004,11:54 p.m.,Dominion- Virginia Power-North Carolina Power,Central Virginia,SERC,120,88110,"severe weather, thunderstorm"
Severe Weather- Thunderstorms,2014,4-30-2014,3:50 AM,4-30-2014,2:00 PM,Southern Company,"Alabama, Florida, Georgia",SERC,296,89000,"severe weather, thunderstorm"
Severe Weather- Wind Storm,2013,11-21-2013,7:45 PM,11-22-2013,3:20 AM,Pacific Gas & Electric Co,Northern California,WECC,150,89500,"severe weather, wind"
Severe Weather- Winter Storm,2012,2-19-2012,5:00 PM,2-21-2012,7:33 AM,American Electric Power,"Kentucky, Virginia, West Virginia",SERC,UNK,90000,"severe weather, winter storm"
High Winds,2006,10-20-2006,1:00 p.m.,10-22-2006,5:00 p.m.,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",RFC,N-A,90000,"severe weather, wind"
Breaker Closed,2003,7-28-2003,6:55 p.m.,7-28-2003,8:35 p.m.,Arizona Public Service,Arizona,WECC,440,90000,equipment failure
Thunderstorms,2004,4-10-2004,8:00 p.m.,4-11-2004,4:00 p.m.,CenterPoint Energy,"Houston, Texas and surrounding suburban areas",ERCOT,Approx. 100,90000,"severe weather, thunderstorm"
Severe Thunderstorms,2011,6-26-2011,6:00 PM,6-27-2011,1:00 PM,Southern Company,Alabama  Georgia,SERC,300,90160,"severe weather, thunderstorm"
Severe Weather- Thunderstorms,2013,6-13-2013,3:20 PM,6-14-2013,9:10 PM,American Electric Power,Ohio  Virginia  West Virginia,"RFC, SERC",Unknown,90247,"severe weather, thunderstorm"
Brush Fire-Load Shedding-Implemented Emergency Alert,2007,10-22-2007,2:01 p.m.,10-22-2007,2:22 p.m.,Southern California Edison Company,Southern California,WECC,451,90323,"wild fire, load shedding"
Snow Storm,2008,12-11-2008,9:00 a.m.,12-13-2008,11:59 p.m.,Entergy Corporation,"Southern Louisiana, Southern and Central Mississippi",SERC,N-A,91300,"severe weather, winter storm"
Severe Weather,2011,12-1-2011,12:45 AM,12-7-2011,9:00 PM,Southern California Edison (SCE),Southern California,WECC,UNK,91690,severe weather
Severe Weather,2000,8-9-2000,6:30 p.m.,8-7-2000,11:59 p.m.,Cinergy Corp,Ohio,ECAR,None,92000,severe weather
Severe Weather,2010,12-18-2010,5:00 a.m.,12-19-2010,10:00 PM,Puget Sound Energy,"Redmond, Washington",WECC,184,92090,severe weather
Severe Weather- Thunderstorms,2013,7-23-2013,11:38 PM,7-25-2013,4:30 AM,American Electric Power,"Tulsa, Oklahoma",SPP,500,92748,"severe weather, thunderstorm"
Severe Weather,2011,2-25-2011,3:23 PM,2-27-2011,6:00 PM,Baltimore Gas & Electric,Maryland,RFC,UNK,93000,severe weather
Transmission Tripped,2009,4-23-2009,4:25 p.m.,4-24-2009,12:29 a.m.,Puget Sound Energy,"Skagit County, Washington",WECC,244,93300,equipment failure
Severe Weather,2007,8-16-2007,9:30 p.m.,8-17-2007,10:49 p.m.,Dominion Virginia Power,Virginia and Eastern North Carolina- Primarily in Central Virginia,SERC,200,93300,severe weather
Severe Thunderstorms,2011,6-18-2011,3:30 PM,6-19-2011,3:42 PM,Southern Company,"Northern, Georgia",SERC,312,93828,"severe weather, thunderstorm"
Severe Thunderstorms,2005,7-27-2005,4:50 p.m,7-28-2005,9:24 p.m.,PECO Energy,"Bucks, Chester, Delaware, Montgomery and Philadelphia counties, Pennsylvania",MAAC,N-A,93837,"severe weather, thunderstorm"
High Winds,2009,10-13-2009,3:45 p.m.,10-13-2009,5:50 p.m.,Sacramento Municipal Utility District,Sacramento County,WECC,90,94000,"severe weather, wind"
Hurricane Charley,2004,8-14-2004,1:00 p.m.,8-14-2004,11:00 p.m.,Progress Energy- Carolinas,Central and Eastern North Carolina and Northern and Eastern South Carolina,SERC,500,94000,"severe weather, hurricane-tropical storm"
Thunderstorms,2010,6-18-2010,3:30 p.m.,6-20-2010,12:30 AM,Northern Indiana Public Service Company,Northwest Indiana,RFC,N-A,94345,"severe weather, thunderstorm"
Load Shed,2006,5-4-2006,2:12 p.m.,5-4-2006,2:45 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,140,94639,load shedding
Severe Weather- Hurricane Isaac,2012,8-29-2012,9:48 AM,8-31-2012,12:55 PM,Cleco Power LLC,Louisiana,SPP,Unknown,95000,"severe weather, hurricane-tropical storm"
Hurricane Ike,2008,9-14-2008,2:00 p.m.,9-17-2008,12:00 p.m.,Dayton Power and Light,Dayton Ohio Area,RFC,"1,000",95000,"severe weather, hurricane-tropical storm"
Ice Storm,2007,12-11-2007,4:00 a.m.,12-20-2007,3:30 p.m.,Westar Energy,Eastern half of the State of Kansas,MRO,500,95000,"severe weather, winter storm"
Severe Weather-Line Relayed,2004,12-27-2004,7:50 a.m.,12-27-2004,10:50 a.m.,Pacific Gas and Electric  Company,"Salinas, California and surrounding communities",WECC,100,95000,severe weather
Ice Storm,2002,1-30-2002,4:00 PM,2-10-2002,9:00 AM,Missouri Public Service,Missouri,SPP,210,95000,"severe weather, winter storm"
Severe Thunderstorms,2003,8-26-2003,4:00 p.m.,8-29-2003,12:00 p.m.,Baltimore Gas and Electric,"Maryland: Anne Arundel County, Baltimore County, Calvert County, Carroll County, Howard County, Montgomery County,  Prince George's and Baltimore City.",MAAC,625,95000,"severe weather, thunderstorm"
High Winds and Heavy Rains,2004,5-21-2004,5:30 a.m.,5-25-2004,12:00 a.m.,Allegheny Power,"Western Pennsylvania, Northern West Virginia, Western Maryland, Northern Virginia",MAAC,"60 at peak, total 162",95000,"severe weather, wind, rain"
